gene_name,interaction_types,drug_claim_primary_name,interaction_group_score,TARGET_NAME,TARGET_CLASS,ACT_VALUE,drug_approved,drug_avr_mass,drug_predicted_logp,drug_rule_of_five,drug_nr_targets,drug_nr_enzymes,drug_nr_carriers,drug_nr_transporters,POLAR_SURFACE_AREA,ROTATABLE_BOND_COUNT,HYDROGEN_BOND_DONORS,HYDROGEN_BOND_ACCEPTORS,RING_COUNT,ATOM_COUNT,FORMAL_CHARGE,CHIRAL_CENTER_COUNT
CHRM3,antagonist,ipratropium,0.27,Muscarinic acetylcholine receptor M3,GPCR,9.2924,True,332.463,-1.8177126204717453,True,3,0,2,2,46.53,5,1,3,3,54,1,5.0
CHRM2,antagonist,ipratropium,0.37,Muscarinic acetylcholine receptor M2,GPCR,8.8239,True,332.463,-1.8177126204717453,True,3,0,2,2,46.53,5,1,3,3,54,1,5.0
CHRM5,antagonist,ipratropium,0.08,Muscarinic acetylcholine receptor M5,GPCR,8.7696,True,332.463,-1.8177126204717453,True,3,0,2,2,46.53,5,1,3,3,54,1,5.0
CHRM4,antagonist,ipratropium,0.08,Muscarinic acetylcholine receptor M4,GPCR,9.1805,True,332.463,-1.8177126204717453,True,3,0,2,2,46.53,5,1,3,3,54,1,5.0
ESR1,agonist,diethylstilbestrol,0.1,Estrogen receptor,Nuclear hormone receptor,9.66,True,268.356,5.193882748,False,9,6,1,5,40.46,4,2,2,2,40,0,0.0
ESR2,agonist,diethylstilbestrol,0.07,Estrogen receptor beta,Nuclear hormone receptor,9.2,True,268.356,5.193882748,False,9,6,1,5,40.46,4,2,2,2,40,0,0.0
ESRRG,agonist,diethylstilbestrol,0.93,Estrogen-related receptor gamma,Nuclear hormone receptor,5.3,True,268.356,5.193882748,False,9,6,1,5,40.46,4,2,2,2,40,0,0.0
FLT4,inhibitor,lenvatinib,0.27,Vascular endothelial growth factor receptor 3,Kinase,8.28399658203125,True,426.86,2.5216067953333337,True,10,8,0,8,115.57,6,3,5,4,49,0,0.0
KIT,inhibitor,lenvatinib,0.16,Mast/stem cell growth factor receptor Kit,Kinase,7.0,True,426.86,2.5216067953333337,True,10,8,0,8,115.57,6,3,5,4,49,0,0.0
PDGFRA,inhibitor,lenvatinib,0.18,Platelet-derived growth factor receptor alpha,Kinase,7.2924299240112305,True,426.86,2.5216067953333337,True,10,8,0,8,115.57,6,3,5,4,49,0,0.0
CYP17A1,inhibitor,ketoconazole,0.31,"Steroid 17-alpha-hydroxylase/17,20 lyase",Enzyme,7.28,True,531.431,4.191597861333333,False,7,18,2,3,69.06,7,0,7,5,64,0,2.0
KCNA10,blocker,ketoconazole,0.31,Potassium voltage-gated channel subfamily A member 10,Ion channel,6.3,True,531.431,4.191597861333333,False,7,18,2,3,69.06,7,0,7,5,64,0,2.0
CYP21A2,inhibitor,ketoconazole,4.37,Cytochrome P450 21,Enzyme,5.05,True,531.431,4.191597861333333,False,7,18,2,3,69.06,7,0,7,5,64,0,2.0
NR1I2,antagonist,ketoconazole,0.04,Nuclear receptor subfamily 1 group I member 2,Nuclear hormone receptor,,True,531.431,4.191597861333333,False,7,18,2,3,69.06,7,0,7,5,64,0,2.0
KCNH2,inhibitor,ketoconazole,0.01,Potassium voltage-gated channel subfamily H member 2,Ion channel,5.72,True,531.431,4.191597861333333,False,7,18,2,3,69.06,7,0,7,5,64,0,2.0
AR,antagonist,mifepristone,0.01,Androgen receptor,Nuclear hormone receptor,8.33,True,429.5937,5.133287652333334,False,4,5,0,5,40.54,2,1,3,5,67,0,5.0
NR1I2,agonist,mifepristone,0.06,Nuclear receptor subfamily 1 group I member 2,Nuclear hormone receptor,5.0,True,429.5937,5.133287652333334,False,4,5,0,5,40.54,2,1,3,5,67,0,5.0
PTGER3,agonist,dinoprostone,2.67,Prostaglandin E2 receptor EP3 subtype,GPCR,9.48,True,352.4651,3.2252701369999994,True,5,0,0,16,94.83,12,3,4,1,57,0,4.0
PTGDR2,agonist,dinoprostone,0.55,Prostaglandin D2 receptor 2,GPCR,5.3,True,352.4651,3.2252701369999994,True,5,0,0,16,94.83,12,3,4,1,57,0,4.0
HTR6,antagonist,zotepine,0.14,5-hydroxytryptamine receptor 6,GPCR,8.3,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
HTR7,antagonist,zotepine,0.11,5-hydroxytryptamine receptor 7,GPCR,8.4,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
HTR2C,antagonist,zotepine,0.03,5-hydroxytryptamine receptor 2C,GPCR,8.54,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
DRD4,antagonist,zotepine,0.05,D(4) dopamine receptor,GPCR,7.41,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
HTR1E,antagonist,zotepine,0.1,5-hydroxytryptamine receptor 1E,GPCR,6.5,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
HTR1D,antagonist,zotepine,0.05,5-hydroxytryptamine receptor 1D,GPCR,9.3,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
HTR1A,antagonist,zotepine,0.02,5-hydroxytryptamine receptor 1A,GPCR,6.48,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
DRD2,antagonist,zotepine,0.05,D(2) dopamine receptor,GPCR,7.96,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
SLC6A2,antagonist,zotepine,0.09,Sodium-dependent noradrenaline transporter,Transporter,7.15,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
DRD1,antagonist,zotepine,0.02,D(1A) dopamine receptor,GPCR,7.54,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
HRH1,antagonist,zotepine,0.02,Histamine H1 receptor,GPCR,9.21,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
DRD3,antagonist,zotepine,0.04,D(3) dopamine receptor,GPCR,8.19,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
HTR1B,antagonist,zotepine,0.05,5-hydroxytryptamine receptor 1B,GPCR,7.2,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
SLC6A4,antagonist,zotepine,0.08,Sodium-dependent serotonin transporter,Transporter,6.82102298736572,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
ADRA2B,antagonist,zotepine,0.04,Alpha-2B adrenergic receptor,GPCR,8.2725772857666,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0,0.0
TUBB,inhibitor,paclitaxel,0.14,Tubulin beta chain,Structural,8.05,True,853.9061,3.5388400199999985,False,6,6,0,6,221.29,10,4,14,7,113,0,11.0
NR1I2,inducer,paclitaxel,0.02,Nuclear receptor subfamily 1 group I member 2,Nuclear hormone receptor,5.3,True,853.9061,3.5388400199999985,False,6,6,0,6,221.29,10,4,14,7,113,0,11.0
KIT,inhibitor,sorafenib,0.26,Mast/stem cell growth factor receptor Kit,Kinase,7.8,True,464.825,4.343329760666666,True,10,11,0,6,92.35,5,3,4,3,48,0,0.0
FLT3,antagonist,sorafenib,0.29,Receptor-type tyrosine-protein kinase FLT3,Kinase,8.35,True,464.825,4.343329760666666,True,10,11,0,6,92.35,5,3,4,3,48,0,0.0
FLT1,inhibitor,sorafenib,0.07,Vascular endothelial growth factor receptor 1,Kinase,7.51,True,464.825,4.343329760666666,True,10,11,0,6,92.35,5,3,4,3,48,0,0.0
DDR2,inhibitor,sorafenib,0.07,Discoidin domain-containing receptor 2,Kinase,8.18,True,464.825,4.343329760666666,True,10,11,0,6,92.35,5,3,4,3,48,0,0.0
BRAF,inhibitor,sorafenib,0.26,Serine/threonine-protein kinase B-raf,Kinase,7.66,True,464.825,4.343329760666666,True,10,11,0,6,92.35,5,3,4,3,48,0,0.0
CDK19,inhibitor,sorafenib,0.06,Cyclin-dependent kinase 19,Kinase,6.6,True,464.825,4.343329760666666,True,10,11,0,6,92.35,5,3,4,3,48,0,0.0
HTR2C,antagonist,duloxetine,0.02,5-hydroxytryptamine receptor 2C,GPCR,6.0,True,297.415,4.197729191333333,True,3,6,2,1,21.26,6,1,3,3,40,0,1.0
SLC6A3,inhibitor,duloxetine,0.2,Sodium-dependent dopamine transporter,Transporter,6.62,True,297.415,4.197729191333333,True,3,6,2,1,21.26,6,1,3,3,40,0,1.0
HTR6,antagonist,duloxetine,0.05,5-hydroxytryptamine receptor 6,GPCR,6.4,True,297.415,4.197729191333333,True,3,6,2,1,21.26,6,1,3,3,40,0,1.0
HTR2A,antagonist,duloxetine,0.01,5-hydroxytryptamine receptor 2A,GPCR,6.3,True,297.415,4.197729191333333,True,3,6,2,1,21.26,6,1,3,3,40,0,1.0
ADRB2,agonist,salmeterol,1.32,Beta-2 adrenergic receptor,GPCR,9.41,True,415.5656,3.6146962067229897,True,3,4,2,3,81.95,16,4,5,2,67,0,1.0
ADRB3,inverse agonist,salmeterol,0.44,Beta-3 adrenergic receptor,GPCR,6.0,True,415.5656,3.6146962067229897,True,3,4,2,3,81.95,16,4,5,2,67,0,1.0
DRD1,antagonist,asenapine,0.06,D(1A) dopamine receptor,GPCR,8.7,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
HTR2A,antagonist,asenapine,0.08,5-hydroxytryptamine receptor 2A,GPCR,9.61,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
DRD3,antagonist,asenapine,0.13,D(3) dopamine receptor,GPCR,9.06,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
HTR2C,antagonist,asenapine,0.1,5-hydroxytryptamine receptor 2C,GPCR,9.93,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
HTR2B,antagonist,asenapine,0.13,5-hydroxytryptamine receptor 2B,GPCR,9.8,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
HTR6,antagonist,asenapine,0.25,5-hydroxytryptamine receptor 6,GPCR,9.22,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
HRH1,antagonist,asenapine,0.07,Histamine H1 receptor,GPCR,9.0,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
HTR5A,antagonist,asenapine,0.61,5-hydroxytryptamine receptor 5A,GPCR,8.6,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
ADRB2,antagonist,asenapine,0.05,Beta-2 adrenergic receptor,GPCR,5.3010299960000005,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
HTR1B,agonist,asenapine,0.17,5-hydroxytryptamine receptor 1B,GPCR,8.4,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
HTR1E,agonist,asenapine,0.07,5-hydroxytryptamine receptor 1E,GPCR,8.0,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
ADRA2A,antagonist,asenapine,0.06,Alpha-2A adrenergic receptor,GPCR,8.187086642999999,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
HTR1D,agonist,asenapine,0.04,5-hydroxytryptamine receptor 1D,GPCR,8.4,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
ADRB1,antagonist,asenapine,0.06,Beta-1 adrenergic receptor,GPCR,5.3010299960000005,True,401.84,3.724606573666666,True,20,4,2,0,12.47,0,0,2,4,36,0,2.0
HTR2A,antagonist,promazine,0.13,5-hydroxytryptamine receptor 2A,GPCR,7.7959,True,284.4190000000001,3.930955566,True,6,5,0,0,6.48,4,0,3,3,40,0,0.0
DRD2,antagonist,promazine,0.12,D(2) dopamine receptor,GPCR,6.7037,True,284.4190000000001,3.930955566,True,6,5,0,0,6.48,4,0,3,3,40,0,0.0
CHRM1,antagonist,promazine,0.12,Muscarinic acetylcholine receptor M1,GPCR,6.825,True,284.4190000000001,3.930955566,True,6,5,0,0,6.48,4,0,3,3,40,0,0.0
DRD3,antagonist,promazine,0.03,D(3) dopamine receptor,GPCR,6.7986,True,284.4190000000001,3.930955566,True,6,5,0,0,6.48,4,0,3,3,40,0,0.0
JAK2,inhibitor,ruxolitinib,2.91,Tyrosine-protein kinase JAK2,Kinase,10.44,True,306.365,2.4793218340000003,True,2,1,0,0,83.18,4,1,5,4,41,0,1.0
TYK2,inhibitor,ruxolitinib,0.14,Non-receptor tyrosine-protein kinase TYK2,Kinase,9.3,True,306.365,2.4793218340000003,True,2,1,0,0,83.18,4,1,5,4,41,0,1.0
JAK1,inhibitor,ruxolitinib,1.86,Tyrosine-protein kinase JAK1,Kinase,10.05,True,306.365,2.4793218340000003,True,2,1,0,0,83.18,4,1,5,4,41,0,1.0
PDGFRB,inhibitor,pazopanib,0.1,Platelet-derived growth factor receptor beta,Kinase,8.7,True,437.518,3.548707246333334,True,10,4,0,4,119.03,5,2,8,4,54,0,0.0
PDGFRA,inhibitor,pazopanib,0.11,Platelet-derived growth factor receptor alpha,Kinase,8.31,True,437.518,3.548707246333334,True,10,4,0,4,119.03,5,2,8,4,54,0,0.0
KIT,inhibitor,pazopanib,0.1,Mast/stem cell growth factor receptor Kit,Kinase,8.74,True,437.518,3.548707246333334,True,10,4,0,4,119.03,5,2,8,4,54,0,0.0
FGFR1,inhibitor,pazopanib,0.05,Fibroblast growth factor receptor 1,Kinase,6.0,True,437.518,3.548707246333334,True,10,4,0,4,119.03,5,2,8,4,54,0,0.0
FGFR3,inhibitor,pazopanib,0.12,Fibroblast growth factor receptor 3,Kinase,6.21,True,437.518,3.548707246333334,True,10,4,0,4,119.03,5,2,8,4,54,0,0.0
ITK,inhibitor,pazopanib,0.11,Tyrosine-protein kinase ITK/TSK,Kinase,,True,437.518,3.548707246333334,True,10,4,0,4,119.03,5,2,8,4,54,0,0.0
FLT1,inhibitor,vandetanib,0.06,Vascular endothelial growth factor receptor 1,Kinase,6.59,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
SRC,inhibitor,vandetanib,0.01,Proto-oncogene tyrosine-protein kinase Src,Kinase,7.15,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
FLT4,inhibitor,vandetanib,0.06,Vascular endothelial growth factor receptor 3,Kinase,6.52,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EGFR,inhibitor,vandetanib,0.15,Epidermal growth factor receptor,Kinase,8.32,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EPHB1,inhibitor,vandetanib,0.26,Ephrin type-B receptor 1,Kinase,6.54,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EPHA4,inhibitor,vandetanib,0.52,Ephrin type-A receptor 4,Kinase,5.8,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
TEK,inhibitor,vandetanib,0.09,Angiopoietin-1 receptor,Kinase,6.0,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
PTK6,inhibitor,vandetanib,0.21,Protein-tyrosine kinase 6,Kinase,7.48,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EPHA8,inhibitor,vandetanib,0.34,Ephrin type-A receptor 8,Kinase,7.04,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EPHB4,inhibitor,vandetanib,0.07,Ephrin type-B receptor 4,Kinase,6.28,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EPHA5,inhibitor,vandetanib,0.21,Ephrin type-A receptor 5,Kinase,6.62,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
ERBB3,inhibitor,vandetanib,0.03,Receptor tyrosine-protein kinase erbB-3,Kinase,6.8,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EPHA2,inhibitor,vandetanib,0.05,Ephrin type-A receptor 2,Kinase,5.96,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EPHB2,inhibitor,vandetanib,0.26,Ephrin type-B receptor 2,Kinase,6.36,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EPHA1,inhibitor,vandetanib,0.52,Ephrin type-A receptor 1,Kinase,6.64,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
ERBB4,inhibitor,vandetanib,0.03,Receptor tyrosine-protein kinase erbB-4,Kinase,6.32,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
ERBB2,inhibitor,vandetanib,0.01,Receptor tyrosine-protein kinase erbB-2,Kinase,5.59,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EPHB6,inhibitor,vandetanib,0.52,Ephrin type-B receptor 6,Kinase,7.12,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EPHA3,inhibitor,vandetanib,0.21,Ephrin type-A receptor 3,Kinase,5.74,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EPHA7,inhibitor,vandetanib,0.26,Ephrin type-A receptor 7,Kinase,5.62,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
EPHA6,inhibitor,vandetanib,0.34,Ephrin type-A receptor 6,Kinase,7.3,True,475.354,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0,0.0
HTR2A,agonist,lisuride,0.07,5-hydroxytryptamine receptor 2A,GPCR,9.061480275,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
HTR1A,agonist,lisuride,0.22,5-hydroxytryptamine receptor 1A,GPCR,9.4,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
HTR1B,agonist,lisuride,0.13,5-hydroxytryptamine receptor 1B,GPCR,7.7,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
HTR2C,agonist,lisuride,0.1,5-hydroxytryptamine receptor 2C,GPCR,8.3,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
DRD5,antagonist,lisuride,0.27,D(1B) dopamine receptor,GPCR,8.5,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
HTR2B,antagonist,lisuride,0.12,5-hydroxytryptamine receptor 2B,GPCR,8.48945499,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
DRD2,agonist,lisuride,0.11,D(2) dopamine receptor,GPCR,9.3,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
DRD3,agonist,lisuride,0.1,D(3) dopamine receptor,GPCR,8.77,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
HTR1D,agonist,lisuride,0.15,5-hydroxytryptamine receptor 1D,GPCR,9.0,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
ADRA2C,antagonist,lisuride,0.1,Alpha-2C adrenergic receptor,GPCR,9.203425667000001,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
DRD4,agonist,lisuride,0.14,D(4) dopamine receptor,GPCR,8.3,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
ADRA1A,antagonist,lisuride,0.02,Alpha-1A adrenergic receptor,GPCR,8.3,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
HTR6,agonist,lisuride,0.07,5-hydroxytryptamine receptor 6,GPCR,8.258848401,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,0,2.0
DDR1,antagonist,imatinib,1.88,Epithelial discoidin domain-containing receptor 1,Kinase,9.15,True,493.6027,4.377673055,True,9,9,2,6,86.28,7,2,7,5,68,0,0.0
DDR2,inhibitor,imatinib,0.09,Discoidin domain-containing receptor 2,Kinase,7.82,True,493.6027,4.377673055,True,9,9,2,6,86.28,7,2,7,5,68,0,0.0
,antagonist,niclosamide,,SARS-CoV-2,Virus,6.55,True,327.12,3.9096388419999997,True,1,2,0,0,92.47,3,2,4,2,29,0,0.0
CHRM1,inhibitor,escitalopram,0.04,Muscarinic acetylcholine receptor M1,GPCR,5.905878404,True,324.3919,3.764304206333334,True,11,4,0,1,36.26,5,0,3,3,45,0,1.0
ADRA1A,inhibitor,escitalopram,0.05,Alpha-1A adrenergic receptor,GPCR,5.412289035,True,324.3919,3.764304206333334,True,11,4,0,1,36.26,5,0,3,3,45,0,1.0
SLC6A4,inhibitor,escitalopram,0.32,Sodium-dependent serotonin transporter,Transporter,8.9586,True,324.3919,3.764304206333334,True,11,4,0,1,36.26,5,0,3,3,45,0,1.0
SLC6A2,inhibitor,escitalopram,0.08,Sodium-dependent noradrenaline transporter,Transporter,5.186152246,True,324.3919,3.764304206333334,True,11,4,0,1,36.26,5,0,3,3,45,0,1.0
HRH1,inhibitor,escitalopram,0.05,Histamine H1 receptor,GPCR,5.705533774,True,324.3919,3.764304206333334,True,11,4,0,1,36.26,5,0,3,3,45,0,1.0
HRH1,antagonist,doxepin,0.21,Histamine H1 receptor,GPCR,9.75,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
HRH2,antagonist,doxepin,0.26,Histamine H2 receptor,GPCR,5.736127323,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
ADRA1D,antagonist,doxepin,0.13,Alpha-1D adrenergic receptor,GPCR,7.366531544,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
HTR2C,antagonist,doxepin,0.07,5-hydroxytryptamine receptor 2C,GPCR,7.0,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
CHRM5,antagonist,doxepin,0.14,Muscarinic acetylcholine receptor M5,GPCR,7.1249,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
SLC6A4,inhibitor,doxepin,0.16,Sodium-dependent serotonin transporter,Transporter,7.17,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
HRH4,binder,doxepin,0.07,Histamine H4 receptor,GPCR,6.79,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
ADRA1A,antagonist,doxepin,0.05,Alpha-1A adrenergic receptor,GPCR,7.6289,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
CHRM1,antagonist,doxepin,0.09,Muscarinic acetylcholine receptor M1,GPCR,7.4202,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
HTR2B,antagonist,doxepin,0.12,5-hydroxytryptamine receptor 2B,GPCR,7.2,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
HTR2A,antagonist,doxepin,0.06,5-hydroxytryptamine receptor 2A,GPCR,7.45,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
SLC6A2,inhibitor,doxepin,0.18,Sodium-dependent noradrenaline transporter,Transporter,7.53,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
HTR6,binder,doxepin,0.05,5-hydroxytryptamine receptor 6,GPCR,6.98,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
HTR1A,antagonist,doxepin,0.05,5-hydroxytryptamine receptor 1A,GPCR,6.5376,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0,0.0
HTR2C,antagonist,ziprasidone,0.11,5-hydroxytryptamine receptor 2C,GPCR,8.89,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0,0.0
HRH1,antagonist,ziprasidone,0.05,Histamine H1 receptor,GPCR,7.33,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0,0.0
DRD2,antagonist,ziprasidone,0.09,D(2) dopamine receptor,GPCR,8.32,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0,0.0
HTR2A,antagonist,ziprasidone,0.09,5-hydroxytryptamine receptor 2A,GPCR,9.4,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0,0.0
ADRA2B,antagonist,ziprasidone,0.04,Alpha-2B adrenergic receptor,GPCR,7.3187589645385716,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0,0.0
HTR3A,antagonist,ziprasidone,0.08,5-hydroxytryptamine receptor 3A,Ion channel,6.4,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0,0.0
