gene_name,interaction_types,drug_claim_primary_name,interaction_group_score,TARGET_NAME,TARGET_CLASS,ACT_VALUE,drug_approved,drug_avr_mass,drug_predicted_logp,drug_rule_of_five,drug_nr_targets,drug_nr_enzymes,drug_nr_carriers,drug_nr_transporters,POLAR_SURFACE_AREA,ROTATABLE_BOND_COUNT,HYDROGEN_BOND_DONORS,HYDROGEN_BOND_ACCEPTORS,RING_COUNT,ATOM_COUNT,CHIRAL_CENTER_COUNT
EPHA4,inhibitor,vandetanib,0.52,Ephrin type-A receptor 4,Kinase,5.8,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
TEK,inhibitor,vandetanib,0.09,Angiopoietin-1 receptor,Kinase,6.0,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
PTK6,inhibitor,vandetanib,0.21,Protein-tyrosine kinase 6,Kinase,7.48,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
EPHA8,inhibitor,vandetanib,0.34,Ephrin type-A receptor 8,Kinase,7.04,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
EPHB4,inhibitor,vandetanib,0.07,Ephrin type-B receptor 4,Kinase,6.28,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
EPHA5,inhibitor,vandetanib,0.21,Ephrin type-A receptor 5,Kinase,6.62,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
ERBB3,inhibitor,vandetanib,0.03,Receptor tyrosine-protein kinase erbB-3,Kinase,6.8,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
EPHA2,inhibitor,vandetanib,0.05,Ephrin type-A receptor 2,Kinase,5.96,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
EPHB2,inhibitor,vandetanib,0.26,Ephrin type-B receptor 2,Kinase,6.36,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
EPHA1,inhibitor,vandetanib,0.52,Ephrin type-A receptor 1,Kinase,6.64,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
ERBB4,inhibitor,vandetanib,0.03,Receptor tyrosine-protein kinase erbB-4,Kinase,6.32,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
ERBB2,inhibitor,vandetanib,0.01,Receptor tyrosine-protein kinase erbB-2,Kinase,5.59,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
EPHB6,inhibitor,vandetanib,0.52,Ephrin type-B receptor 6,Kinase,7.12,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
EPHA3,inhibitor,vandetanib,0.21,Ephrin type-A receptor 3,Kinase,5.74,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
EPHA7,inhibitor,vandetanib,0.26,Ephrin type-A receptor 7,Kinase,5.62,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
EPHA6,inhibitor,vandetanib,0.34,Ephrin type-A receptor 6,Kinase,7.3,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
HTR2A,agonist,lisuride,0.07,5-hydroxytryptamine receptor 2A,GPCR,9.061480275,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
HTR1A,agonist,lisuride,0.22,5-hydroxytryptamine receptor 1A,GPCR,9.4,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
HTR1B,agonist,lisuride,0.13,5-hydroxytryptamine receptor 1B,GPCR,7.7,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
HTR2C,agonist,lisuride,0.1,5-hydroxytryptamine receptor 2C,GPCR,8.3,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
DRD5,antagonist,lisuride,0.27,D(1B) dopamine receptor,GPCR,8.5,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
HTR2B,antagonist,lisuride,0.12,5-hydroxytryptamine receptor 2B,GPCR,8.48945499,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
DRD2,agonist,lisuride,0.11,D(2) dopamine receptor,GPCR,9.3,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
DRD3,agonist,lisuride,0.1,D(3) dopamine receptor,GPCR,8.77,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
HTR1D,agonist,lisuride,0.15,5-hydroxytryptamine receptor 1D,GPCR,9.0,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
ADRA2C,antagonist,lisuride,0.1,Alpha-2C adrenergic receptor,GPCR,9.203425667000001,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
DRD4,agonist,lisuride,0.14,D(4) dopamine receptor,GPCR,8.3,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
ADRA1A,antagonist,lisuride,0.02,Alpha-1A adrenergic receptor,GPCR,8.3,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
HTR6,agonist,lisuride,0.07,5-hydroxytryptamine receptor 6,GPCR,8.258848401,True,338.4466,2.1692287139999995,True,15,1,0,0,51.37,3,2,2,4,51,2.0
DDR1,antagonist,imatinib,1.88,Epithelial discoidin domain-containing receptor 1,Kinase,9.15,True,493.6027,4.377673055,True,9,9,2,6,86.28,7,2,7,5,68,0.0
DDR2,inhibitor,imatinib,0.09,Discoidin domain-containing receptor 2,Kinase,7.82,True,493.6027,4.377673055,True,9,9,2,6,86.28,7,2,7,5,68,0.0
,antagonist,niclosamide,1.0172222222222222,SARS-CoV-2,Other,6.55,True,327.12,3.909638842,True,1,2,0,0,92.47,3,2,4,2,29,0.0
CHRM1,inhibitor,escitalopram,0.04,Muscarinic acetylcholine receptor M1,GPCR,5.905878404,True,324.3919,3.764304206333334,True,11,4,0,1,36.26,5,0,3,3,45,1.0
ADRA1A,inhibitor,escitalopram,0.05,Alpha-1A adrenergic receptor,GPCR,5.412289035,True,324.3919,3.764304206333334,True,11,4,0,1,36.26,5,0,3,3,45,1.0
SLC6A4,inhibitor,escitalopram,0.32,Sodium-dependent serotonin transporter,Transporter,8.9586,True,324.3919,3.764304206333334,True,11,4,0,1,36.26,5,0,3,3,45,1.0
SLC6A2,inhibitor,escitalopram,0.08,Sodium-dependent noradrenaline transporter,Transporter,5.186152246,True,324.3919,3.764304206333334,True,11,4,0,1,36.26,5,0,3,3,45,1.0
HRH1,inhibitor,escitalopram,0.05,Histamine H1 receptor,GPCR,5.705533774,True,324.3919,3.764304206333334,True,11,4,0,1,36.26,5,0,3,3,45,1.0
HRH1,antagonist,doxepin,0.21,Histamine H1 receptor,GPCR,9.75,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
HRH2,antagonist,doxepin,0.26,Histamine H2 receptor,GPCR,5.736127323,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
ADRA1D,antagonist,doxepin,0.13,Alpha-1D adrenergic receptor,GPCR,7.366531544,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
HTR2C,antagonist,doxepin,0.07,5-hydroxytryptamine receptor 2C,GPCR,7.0,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
CHRM5,antagonist,doxepin,0.14,Muscarinic acetylcholine receptor M5,GPCR,7.1249,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
SLC6A4,inhibitor,doxepin,0.16,Sodium-dependent serotonin transporter,Transporter,7.17,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
HRH4,other,doxepin,0.07,Histamine H4 receptor,GPCR,6.79,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
ADRA1A,antagonist,doxepin,0.05,Alpha-1A adrenergic receptor,GPCR,7.6289,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
CHRM1,antagonist,doxepin,0.09,Muscarinic acetylcholine receptor M1,GPCR,7.4202,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
HTR2B,antagonist,doxepin,0.12,5-hydroxytryptamine receptor 2B,GPCR,7.2,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
HTR2A,antagonist,doxepin,0.06,5-hydroxytryptamine receptor 2A,GPCR,7.45,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
SLC6A2,inhibitor,doxepin,0.18,Sodium-dependent noradrenaline transporter,Transporter,7.53,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
HTR6,other,doxepin,0.05,5-hydroxytryptamine receptor 6,GPCR,6.98,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
HTR1A,antagonist,doxepin,0.05,5-hydroxytryptamine receptor 1A,GPCR,6.5376,True,279.3761,3.8399740746666673,True,19,5,2,1,12.47,3,0,2,3,42,0.0
HTR2C,antagonist,ziprasidone,0.11,5-hydroxytryptamine receptor 2C,GPCR,8.89,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
HRH1,antagonist,ziprasidone,0.05,Histamine H1 receptor,GPCR,7.33,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
DRD2,antagonist,ziprasidone,0.09,D(2) dopamine receptor,GPCR,8.32,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
HTR2A,antagonist,ziprasidone,0.09,5-hydroxytryptamine receptor 2A,GPCR,9.4,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
ADRA2B,antagonist,ziprasidone,0.04,Alpha-2B adrenergic receptor,GPCR,7.3187589645385716,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
HTR3A,antagonist,ziprasidone,0.08,5-hydroxytryptamine receptor 3A,Ion channel,6.4,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
CHRM4,antagonist,ziprasidone,0.04,Muscarinic acetylcholine receptor M4,GPCR,5.795880017000001,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
CHRM1,antagonist,ziprasidone,0.02,Muscarinic acetylcholine receptor M1,GPCR,6.55,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
DRD5,antagonist,ziprasidone,0.09,D(1B) dopamine receptor,GPCR,6.81815624237061,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
ADRA2C,antagonist,ziprasidone,0.03,Alpha-2C adrenergic receptor,GPCR,7.11350917816162,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
ADRA1B,antagonist,ziprasidone,0.03,Alpha-1B adrenergic receptor,GPCR,8.04575729370117,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
HTR1E,antagonist,ziprasidone,0.14,5-hydroxytryptamine receptor 1E,GPCR,6.44,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
HTR1A,agonist,ziprasidone,0.12,5-hydroxytryptamine receptor 1A,GPCR,8.47,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
HTR7,antagonist,ziprasidone,0.17,5-hydroxytryptamine receptor 7,GPCR,8.3,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
CHRM3,antagonist,ziprasidone,0.02,Muscarinic acetylcholine receptor M3,GPCR,5.0,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
HTR1B,agonist,ziprasidone,0.08,5-hydroxytryptamine receptor 1B,GPCR,8.3,True,412.936,4.304046458666667,True,26,2,2,1,48.47,4,1,5,5,49,0.0
